,,
,,
,,
Producto,Calorías por gramo,Calorías de grasa por gramo
Barilla Roasted Garlic & Onion,0.64,0.20
Barilla Tomato & Basil,0.56,0.12
Classico Tomato & Basil,0.40,0.08
Del Monte Mushroom,0.48,0.04
Five Bros Tomato & Basil,0.64,0.12
Healthy Choice Traditional,0.40,0.00
Master Choice Chunky Garden Veg,0.56,0.08
Meijer All Natural Meatless,0.55,0.08
Newmans Own Traditional,0.48,0.12
Paul Newman Venetian ,0.48,0.12
Prego Fresh Mushrooms,1.25,0.38
Prego Hearty Meat-Pepperoni,1.00,0.33
Prego Hearty Meat-Hamburger,1.00,0.29
Prego Traditional,1.17,0.33
Prego Roasted Red Pepper & Garlic,0.92,0.25
Ragu Old World Style w/meat,0.67,0.25
Ragu Roasted Red Pepper & Onion,0.86,0.20
Ragu Roasted Garlic,0.70,0.19
Ragu Traditional,0.56,0.20
Sutter Home Tomato & Garlic,0.64,0.16
